Year,Month,PV
2013,1,1
2013,2,0
2013,3,0
2013,4,0
2013,5,5
2013,6,19
2013,7,28
2013,8,27
2013,9,17
2013,10,9
2013,11,2
2013,12,4
2014,1,1
2014,2,1
2014,3,2
2014,4,2
2014,5,6
2014,6,10
2014,7,15
2014,8,26
2014,9,28
2014,10,5
2014,11,5
2014,12,3
2015,1,0
2015,2,0
2015,3,1
2015,4,2
2015,5,0
2015,6,9
2015,7,8
2015,8,33
2015,9,37
2015,10,19
2015,11,5
2015,12,4
2016,1,0
2016,2,0
2016,3,2
2016,4,4
2016,5,5
2016,6,27
2016,7,27
2016,8,54
2016,9,23
2016,10,6
2016,11,2
2016,12,0
2017,1,2
2017,2,1
2017,3,0
2017,4,6
2017,5,14
2017,6,19
2017,7,29
2017,8,40
2017,9,30
2017,10,7
2017,11,3
2017,12,0
